story_qn,answer_text
What about the further attributes in PPMS?,
"What about the further attributes, e.g. ""Release Type"" and ""Vendor Classification"" which is maintained as a delivery attribute and in PPMS?",
"I'm not able to see the ""Program option"" information in any of our programs.","In order to simplify the activation of the distribution of Sirius deliveries to SAP JIRA, as soon as a SAP JIRA project (created via Artemis or cPro) is linked to a Sirius program or delivery, all new and active deliveries of the linked program are pushed to SAP JIRA.

The activation from the Sirius is not necessary anymore and therefore removed from the UI.
Isn't that great! 😊"
Where is the program option?,
"I'm not able to see the ""Program option"" information in any of our programs.",
Are documents in follow-up deliveries copied from previous deliveries?,"Yes, documents are always copied."
Is it possible to differentiate documents from previous follow-up deliveries from the new or changed ones?,"Yes, if documents are copied and not changed in the current task the comment ""Unchanged in this delivery"" is displayed."
When should I maintain the RTC date?,As early as possible but latest at Start of Standard Development (SSD).
How do I include standard milestone templates?,"The standard milestone set for On-Premise and Cloud deliveries can be copied from the template delivery ""Release Planner Templates (global)"" in the program ""Release Planner Templates (global)"".
That’s it! 😊"
How do I include sprint milestone templates?,"If you want to add multiple sprints at once, the template deliveries ""5 Sprints"" and ""10 Sprints"" can be used (from the program ""Release Planner Templates (global)"").  
That’s it! 😊"
Why are product standard requirements are missing in my delivery?,"OhOh 😲
Let's check together what might went wrong.
If a delivery was created and activated prior to the product standard update new requirements are not included. "
Where can I upload my mitigation plans?,"Mitigation plans can be uploaded in PSC-on-Sirius as a document of the respective product standard requirement. 
Isn’t that simple! 😊 "
how to do a risk mitigation in sirius?,
Why is there no approval functionality in PSC-on-Sirius?,"According to the simplified product standard process, documented approvals are no longer needed except for corporate product standard requirements. The product owner is responsible for the requirements of the products, which includes the level of compliance with product standard requirements.
In case the requirement status is “not relevant” or “not fulfilled”, the product owner documents a reason for this in the corresponding comment field. Additional information is available in the [Portal](https://portal.wdf.sap.corp/wcm/ROLES://portal_content/cp/roles/employee/company/ManagementSystems/Infocenters/Global%20Communications%20for%20SAP/Management%20Systems/~/Quality%20Management%20System/Innovation%20Cycle/Product%20Standards/Product%20Standard%20Compliance%20(PSC)) .

Please find more information [here](https://wiki.wdf.sap.corp/wiki/display/DevFw/Delivery+FAQs#DeliveryFAQs-WhyistherenoapprovalfunctionalityinPSC-on-Sirius?).

Isn't that great! 😊"
Where do I find the requirements for the Product Standard Licensing?,"The product standard licensing has moved out of the product standard requirements into an own task.
For information, please take a look at our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/glwikilc/Product+Standard+Licensing)."
How do the requirements in PSC-on-Sirius relate to PPMS objects?,"For each delivery, you can assign any number of PPMS objects. All product standard statements that you enter for your delivery in Sirius relate to all assigned PPMS objects.
That’s it! 😊"
What if the rules change?,"Product standard requirements are changed by the standard owners about twice a year, and communicated centrally (Product Standard Update E-Mail and [here](https://portal.wdf.sap.corp/wcm/ROLES://portal_content/cp/roles/employee/company/ManagementSystems/Infocenters/Global%20Communications%20for%20SAP/Management%20Systems/~/Quality%20Management%20System/Innovation%20Cycle/Product%20Standards/News%20and%20Events)).
All changes apply to deliveries created after the changes are published..

There are a few impacts which can be found in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Delivery+FAQs#DeliveryFAQs-Whatiftheruleschange?HowwillchangesofproductstandardrequirementsbereflectedinSiriusdeliveries?Whyhasthestatusoftheproductstandardmanagementtaskchangedto%22open%22?).
Happy exploring! 😊"
How will changes of product standard requirements be reflected in Sirius deliveries?,
"Why has the status of the product standard management task changed to ""open""?",
Are product standards requirements relevant for cloud deliveries?,"Product standards apply to all products categorized in “Cloud”, “On-Premise” and “On-Device”. The status values “Fulfilled by Infrastructure” and “Fulfilled by Automated Test” provide transparency on the level of automation, which is important for short cycle development.

There are a few requirements relevant for cloud only such as ""ILM for Off-Boarding: Export of Data in Cloud"" or ""Cloud or ILM for Off-Boarding: Destruction of Data in Cloud""."
How can I copy the same compliance status for standard requirements from one delivery to another?,"Create any new delivery within the same program with reference to the “previous delivery” where the requirements are maintained. In case you want to copy the compliance status from any delivery, then you can use the overwrite function.
If you want more information, please follow our friendly [**guide**]
(https://documents.wdf.sap.corp/share/proxy/alfresco//api/node/content/workspace/SpacesStore/649e1464-76ae-4fd2-86ac-050b295b5059/ProductsStandardsProcessTool_2016.pdf?a=true)."
Is it possible to download the requirements including the status values maintained?,"Mitigation plans can be uploaded in PSC-on-Sirius as a document of the respective product standard requirement. 
Isn’t that simple! 😊 "
"What are the plans for the other PSC Tools (PSC 2.4, PSC 3.3, PSCHub)?","Since March 1st, 2016, Sirius is the default tool for product standard management, while the other PSC tools are phased out.
You can access plans in the old PSC tools, but for any new delivery, PSC-on-Sirius is mandatory.

- PSC 4.2 is in ""read-only"" mode since July 1st, 2016, and PSCHub since November 14th, 2016.
- PSC 3.3 is in ""read-only"" mode since January 1st, 2018"
What are the plans for the other PSC Tools?,
"Is a migration from PSCHub, PSC2.4 and PSC3.3 to Sirius available?","Due to the fact that the PSC process was simplified (no milestones, no workflow) there is no automatic migration possible."
Is a migration from PSC3.3 to Sirius available?,
Is a migration from PSCHub to Sirius available?,
Is a migration from PSC2.4 to Sirius available?,
I have a question regarding the product standard compliance process. Who can I contact?,Please check [go/productstandards](https://portal.wdf.sap.corp/go/productstandards) or contact the product standard process owner (Silvia Otto).
Is there any reporting for product standard subplans available?,"Reporting on Product Standard maintained in Sirius is available. 😊 
The Product Standard Dashboard provides support to get an overview on product standard compliance:  [Analytical Store](https://eas.sap.com/astore/ui/index.html#asset/104578).

For more information, please follow our friendly [**guide**](https://documents.wdf.sap.corp/share/proxy/alfresco/api/node/content/workspace/SpacesStore/eaa184b6-9abb-4ff8-a084-fee81e1cfa35/PS_DashBoard.pdf?a=true]."
How can I track non fulfillment of product standard requirements using subplans?,
Why there are no requirements for the product standard Integration visible?,The requirements of the Product Standard Integration are valid for cloud deliveries only. 
What are the new features in release x.y?,"🚩 For information on the new features in a specific releases, please [follow me](https://wiki.wdf.sap.corp/wiki/x/G7sGY)."
i want to know the further release timelines of S/4HANA 1909 and 2020 OP,
release information,
Where is the “save” button?,"There is no ""save"" button in Sirius. Just change anything you like and it will be saved automatically and immediately. 😊"
save settings,
How can I avoid certificate popups?,To avoid certificate popups you need to automatically select the SAP client certificate in Google Chrome. Please follow our friendly [guide](https://blogs.sap.com/2013/10/22/how-to-automatically-select-sap-client-certificate-in-google-chrome/).
How can I get authorization as an external user?,"The SAP contact of the external user needs to request the role ""0000_IFP_CP_CONTRACTOR"" via [ARM](https://uap.wdf.sap.corp/sap/bc/webdynpro/sap/yupa_extend_auth?pa_mandt=001&pa_system=IFP&pa_profile=0000_IFP_CP_CONTRACTOR#) . With this profile the external user can access the Sirius system. To access a specific program or delivery the user needs to be maintained to a specific role inside the program.
Afterwards the C-User should see the role [here](https://uap.wdf.sap.corp/sap/bc/webdynpro/sap/zaut_comp_ui?sap-language=EN&pa_sysid=IFP#).
There you have it! 😊"
How can I get authorization for central service units? ,"For all users being part of service groups the role ""0000_IFP_CP_SIRIUS_SERVICEUSER"" needs to be requested via [UAP](https://uap.wdf.sap.corp/sap/bc/webdynpro/sap/yupa_extend_auth?pa_mandt=001&pa_system=IFP&pa_profile=0000_IFP_CP_SIRIUS_SERVICEUSER#) . This allows to staff roles and upload documents without having a role inside the program.
There you have it! 😊"
How can I find the available reports?,"For detailed information on the available reports , please [follow me](https://wiki.wdf.sap.corp/wiki/x/7wgZeg)."
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
How does my program get in the DDC?,"For detailed information on the Development Delivery Call Relevant, please [follow me](https://wiki.wdf.sap.corp/wiki/x/7POyeg)."
How can I find programs I have a role in?,"1. Use the [EA reporting](https://bop.wdf.sap.corp/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AcSgn9qCaEJIp_ABep5ZSIw) .
2. Select your user name.
3. Choose the ""Ok"" button.
    → All programs are shown 
        (incl. Program Repository programs).
4. Jump into them with right mouse button on the name and select ""GoTo"" in the dropdown menu.

Wasn’t that easy? 😊"
Why do I not see any tasks?,"Ahh I see your problem 😊
Tasks are created if the ""Processing Status"" of the delivery is changed to ""Active"". 
For detailed information , please [follow me](https://wiki.wdf.sap.corp/wiki/x/eGtEeg)."
but I dont see any of the tasks over there,
missing tasks,
I cannot see my tasks,
How can I reopen cross-delivery tasks in follow-up deliveries?,"If you need to work on cross-delivery tasks in follow-up deliveries set them to ""Completed Until Due Date"" without setting a date, this will set the status to ""Open"" in the follow-up delivery. 
Simple, isn’t it! 🙂"
"Why do tasks have the status ""Open"" in the cross-delivery task section?","I found two possible reasons:
The status of cross-delivery tasks is normally taken over from the previous delivery. If you find open tasks there  the process/task owner decided to reopen the task because based on a process change the info page needs to be checked again and new activities are needed. Changes are stated at the beginning of the info page.
or
New tasks are added which where not in the previous delivery."
How can I forward the address of an uploaded document?,"Forwarding the address of an uploaded document is easy!
1. Click the right mouse button.
2. Choose ""Copy Link Address"".
3. Insert the link address where you need it."
How can I copy the address of an uploaded document?,
What needs to be done before and after SSD?,"All tasks which are listed before the SSD task need at least to be started before SSD, as their status will be checked at SSD. Few tasks even need to be completed. All tasks listed after the SSD task are usually only started later. All tasks need to be completed before the release date. That's it 😊"
Why does a Feature Delivery suddenly contain so many tasks?,"Let me check!
Also for Cross-Delivery tasks a physical task instance is created now and visible in Delivery Overview, Task Table and Reporting. Cross-Delivery Task Group is collapsed if none of the Cross-Delivery Tasks is in status Open or In Process."
How do comments behave in follow-up deliveries?,"It's pretty easy. The comments are copied, but without the last comment into the task table.
Use ""Comments from Previous Delivery"" to display them.
May I help you with another question? 😊"
What do the red and blue stars behind the tasks mean?,"The red stars mark ""Corporate Task"". ""Corporate Tasks"" must always be fulfilled.
The blue stars mark ""Business Rules"". 
No star marks ""Service"".
You can filter for them, via the ""Obligation Level"". 
Simple, isn’t it! 😊

For more details, please take a look at our great [**guide**](	https://wiki.wdf.sap.corp/wiki/x/16pniw)!"
What do the red stars mean?,
What do the blue stars behind the tasks mean?,
What do the blue stars mean?,
Obligation Level,
What do the red stars behind the tasks mean?,
What do the red and blue stars mean?,
What is ECCN?,"Let me give you a short explanation 📝 
ECCN: Export Control Classification Number

Find information on ECCN in our friendly **guides** [Export Control Product Classification](https://wiki.wdf.sap.corp/wiki/x/1g3aJQ)
[Export Control Classification Number]( https://sapedia.int.sap/wiki/Export_Control_Classification_Number)"
ECCN,
Where can I see my programs?,"⚠️ Please note, that there is no  
       general overview of your programs 
       available by now.
There are two options to find your programs:
- You can mark them as favourite, afterwards they will be displayed on the home screen always
- On the home screen you can search for programs
Happy exploring! 😊"
Where are my programs?,
search for programs,
see programs,
find programs,
Where can I see my deliveries?,"⚠️ Please make sure, that you are in 
       the correct program.
⚠️ Please note, that only active 
       deliveries are displayed in the 
       overview.  

If you want to see all deliveries of a program, go to the delivery screen.
There is no search by name possible.

Is there anything else I can help you with? 😊"
search for deliveries,
Where can I see my deliveries?,
see deliveries,
find deliveries,
search for deliveries,
Where can I see my deliveries?,
I search for SCM PPDS 1.0 ON ERP EHP8,
Where can I see my tasks?,"⚠️ Please make sure, that you are in 
       the correct program.
⚠️ Please make sure, that you are in 
       the correct delivery.
⚠️ If your tasks are empty, please 
       create a ticket.
1. Choose the program.
2. Choose the delivery.
3. Choose the task screen.

❕ By default, only the tasks which 
    you are assigned to are displayed. 

    If you want to see all tasks of a delivery, 
    modify the filter options above.
Happy exploring! 😊"
I just created a new delivery in SIRIUS program and I expect to see the delivery  tasks,
find tasks,
see tasks,
Where can I see my tasks?,
search for tasks,
search for tasks,
show me my tasks,
Why does Sirius not work?,"OhOh 😲
Let's check together what might went wrong.
There are a few options, why sirius might not be loaded correctly:

- You use the Internet Explorer (the Internet Explorer is no longer supportet)
- You have no connection to the intranet when working from home"
sirius page does not load,
cannot connect to sirius,
I am not able to access sirius link..,
Why does Sirius not work?,
Hi I got time out when I open the delivery detail,
"Hi, I get an error 400 when I open Sirius",
system problems,
sirius is not working,
sirius seems to be broken,
system down,
There is no backend connection,
Why am I not able to edit?,"OhOh 😲
Let's check together what might went wrong.
There are two possible reasons, why you cannot edit:
- You have no permission (you need to be staffed for the program)
- The delivery is set to the status ""finished"" or ""inactive"" and therefore cannot be edited "
program cannot be edited,
task cannot be edited,
i cannot edit my task,
unable to edit,
unable to edit file,
I cannot change my delivery,
How can I get a Sirius coaching?,"In the last 24 month the IQS Cloud Quality Coaching Team has coached about 25 Development Programs in Program Management, based on Sirius.

The Sirius tool itself offers good User Experience and good User Support but the difficulty for Program Leads lies in the high number of .
Please find information on Sirius coaching in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Sirius+Coaching)."
online courses,
sirius coaching,
Is there a training available,
When is the next Sirius info day?,"We are planning the next Sirius Info Day for this autumn 2019. The exact date will be announced in time. If you want special topics presented for this info day, please feel free to contact us via the feedback icon."
siriu sinfo day,
Where can I find information on all possible activity roles?,You can find the details about activity roles [**here**](https://jam4.sapjam.com/groups/uH5dGdf6wJ0S9zC44tHNKb/documents/gXIJTwu0M2zp8ZJPB0u2SU).
"Why do I get a message ""Please wait while we load portfolio items""?","You can report this via an [**ITDirect**](https://itdirect.wdf.sap.corp/sap(bD1lbiZjPTAwMSZkPW1pbg==)/bc/bsp/sap/crm_ui_start/default.htm?crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_LUCID&description=Lucid%3a ) ticket with steps to reproduce.

Our awesome development team will get back to you!"
What is a team?,"A team is a group of employees who work together. For example, a typical development scrum team consists of a Scrum Master, an Architect, and Developers. "
What does Team mean in Lucid Capacity? ,
What is the number displayed below a placeholder staff mean?,The number displayed is a **unique identifier** for a placeholder staff.
Can I add a Placeholder Staff to multiple teams?,"No, a placeholder staff cannot be added to multiple teams.
"
How can I replace a Placeholder Staff with an employee?,"To replace a placeholder staff with an employee, replace the name of the placeholder staff with the name of the desired employee. "
How can I allocate portfolio items to a team for a period longer than a year?,"To allocate portfolio items to a team for a period longer than a year:

1.	Click on the **date selector** on the top of the page.
2.	Select the desired **time range**.

You should now be able to allocate portfolio items to a team for the selected time range

 
**Note**: You cannot select a time period greater than 3 years for allocating portfolio items."
What is a team description?,"A team description is a **short summary** of useful information about a team.
 
This may include the team name, purpose, key responsibilities of the team et al.
"
Why can't I assign a portfolio item to the activity role Absence?,You can not assign a portfolio item to the activity role **Absence** as absent team members do not work on portfolio item.
Why can't I assign a team to the activity role Absence?,You can not assign a team to the activity role **Absence** as absent team members do not work in teams.
What is the frequency of data synchronization between Lucid Capacity and cPro?,"Lucid Capacity and cPro are synchronized every 10 minutes.

Occasionaly, the synchronization can take longer."
How can I remove an employee who has left the organization?,"When an employee leaves your team, Lucid Capacity automatically ends that employee’s assignments.

Handy, isn’t it? 😊"
How can I remove an employee who has left the team?,
How can I remove an employee who has left SAP?,
Why is Search and Select All disabled?,"**Search** and **Select All** are disabled when Lucid Capacity is loading a large amount of data.

As soon as the data is loaded **Search** and **Select All** are enabled."
Why can't I edit an employee's assignment?,"You cannot edit the assignments of employees who do not belong to your organizational unit.

To edit the assignments of an employee who does not belong to your organizational unit:

- Log in as a substitute of the employee’s manager, or
- Ask the employee’s manager"
Can I assign multiple activity roles in a team to placeholder staff?,"Yes, you can assign **multiple activity roles** in a team to placeholder staff!"
How can I add a Placeholder Staff to a team?,"To add a placeholder staff to a team, type in **placeholder** or **NN** in the employee name field.

Then select the placeholder staff from the search-as-you-type list."
Are Placeholder Staff assignments considered for action items?,"Yes, placeholder staff assignments are considered for **action items in teams** if the assignment has a start date in the past. "
What does the number displayed below a Placeholder Staff mean?,It is the unique identification for a Placeholder Staff.
Is overbooking considered when replacing a Placeholder Staff with an employee?,"Yes, overbooking is **considered** when replacing a placeholder staff with an employee."
What is the source of the list of my employees in Lucid Capacity?,The **list of employees** displayed for a manager in Lucid Capacity is derived from SAP’s **Human Resources** system.
source of data,
What does a Line Manager need to do in Lucid Capacity?,"A Line Manager needs to perform the following tasks in Lucid Capacity: 

- Create teams
- Assign your employees to teams 
- Assign your employees to activity roles  
- Assign portfolio items to your teams or employees 
- Solve action items "
What does the Manager Hierarchy in the Operations Mode represent?,"When you enable the Operations Mode in Lucid Capacity, the Manager Hierarchy is displayed on the left hand side of the screen.

The Manager Hierarchy displays action items across the hierarchy of the manager for whom you have logged in as a substitute. This includes action items for the substituted manager as well as his subordinate managers."
How can I allocate portfolio items to a team for a period longer than six months?,"You can set a time range using the date selector on the top of the page. You will now be able to select your desired time range and allocate for the same.

Please note that you cannot select a time period of more than 3 years for allocating portfolio items."
How can I assign a percentage allocation to a portfolio item for multiple months?,"To assign a percentage allocation to a portfolio item for multiple months:

1. Hover over the percentage value.
2. Click on the **Overwrite future months** icon.

This will copy the current percentage value to all future months in the selected time range 😊"
Why don't I see the portfolio items that I added earlier?,"You may not see unallocated portfolio items if the **Hide unallocated items** toggle button is enabled.

Click on this button to toggle and display unallocated portfolio items."
Why do I see a manager's name multiple times while logging in as a substitute?,You see a manager's name multiple times while logging in as a substitute if he/she is responsible for **several organisational units** having different managers.
Who is the team responsible?,A team responsible is the person who **owns the team** in Lucid Capacity and is responsible for **solving action items** 😊
Can an employee be assigned to multiple roles?,"Yes, an employee can be assigned to multiple roles as he/she may play multiple roles in a team."
How can I edit multiple assignments?,"You can edit multiple assignments by following these easy steps:

1. Go to the **Employees** tab.
2. Select the employees for whom you want to edit assignments.
3. Click on **Edit selected rows**.
4. A popup will appear with data of the selected employees.
5. Edit the assignment details: this will be applied to all selected employees.

You have successfully edited multiple assignments! 😊"
How can I export data to a spreadsheet?,You **cannot** export data to a spreadsheet.
export data to excel,
How can I deactivate a team?,"You can deactivate a team using these easy steps!

1. Go to the **Teams** tab.
2. Find your team and expand it.
3. Click on **Deactivate Team**.
4. Click on **Deactivate** in the popup.

Simple, isn't it? 😊

**Note**: Deactivating a team does not delete it. Deactivated teams are visible in the **Inactive Teams** subtab."
how do i make a team inactive?,
how to deactive a team,
How can I create a team?,"You can easily create a team through these simple steps!

1. Go to the **Teams** tab.
2. Under the **Active Teams** subtab, click on **Create or Add Team**.
3. Click on **Create Team** in the popup**.**
4. Enter the details of the team.
5. Click on **Create**.

Congratulations, you have created a team! 😊"
Add new team,
Make new team,
How can I request access to reports?,Requesting access to reports is easy with this friendly [**guide**](https://jam4.sapjam.com/groups/qpLtHzhJWhyX3YIjk7L76u/documents/LVcy6pt6s2xlBc5AgVkVPz/slide_viewer)!
How can I request a feature?,"Create a [**feature request**](https://itdirect.wdf.sap.corp/sap/bc/bsp/sap/crm_ui_start/default.htm?crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_LUCID&description=[FR]Lucid: ) for Lucid Capacity.

The **product team** of Lucid Capacity will consider your request."
How can I report a bug?,"Your feedback is important to us.

You can report a bug using these channels:

- [**Bug in Lucid Capacity**](https://itdirect.wdf.sap.corp/sap(bD1lbiZjPTAwMSZkPW1pbg==)/bc/bsp/sap/crm_ui_start/default.htm?crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_LUCID&description=Lucid%3a )
- [**Bug in Tobi**](https://github.wdf.sap.corp/tobi/tobi-jr/issues/new?assignees=&labels=&template=bug_report.md&title=Tobi%20@%20Lucid%20Capacity:)"
raise issue,
raise a ticket,
report problem,
ticket,
Where can I see my action items?,"You can see your action items in the **Action Items** tab.

This tab alerts you about employees and teams that need your attention so that you can focus on what is important."
Where can I see my action items?,
how to check action items under sub teams,
How is the number of action items displayed in the Manager Hierarchy?,"Action items are displayed in the Manager Hierarchy as follows:

- Action items are displayed in each node of the Manager Hierarchy tree.
- When you expand a node, you see the number of **direct action items** for the selected manager.
-  When you collapse a node, you see the number of **overall action items** (direct and indirect) for the selected manager.
-  If a manager has no action items, there is no number listed.

**Note**: Direct action items are those which are required to be **directly solved** by a manager. Indirect action items are those which are required to be **solved by a manager’s subordinate** managers."
Why should I maintain my employees’ assignments in Lucid Capacity?,"Lucid Capacity supports SAP's strategy for **Workforce Management**.

It serves as the source of information for **management reports** (Quarterly Business Reviews, Planning Days, Portfolio Meetings, Strategic End-to-End Business Planning, Digital Boardroom et al).

By maintaining your employees' assignments, you are supporting SAP's strategy for Workforce Management and ensuring accuracy of information for management reports."
Why is it important for managers to maintain data in Lucid Capacity?,
Is Lucid Capacity the successor of the Clear Capacity?,"Yes, Lucid Capacity is the official successor of the Clear Capacity 😊"
How can I switch between organizational units in the Operations Mode?,"Switching between organizational units in the **Operations Mode** is easy!

Select the required organizational unit from the dropdown at the top of the left pane."
Why is a manager's name displayed multiple times in the Manager Hierarchy of the Operations Mode?,A manager's name is displayed multiple times in the Manager Hierarchy of the Operations Mode if he manages **multiple organisational units** at different levels.
What is the target user group of Lucid Capacity?,Lucid Capacity is meant for **Line Managers** and their **substitutes** for simplified capacity management in development.
target user group,
How can I use the Operations Mode?,"You can use the Operations Mode by following these simple steps: 

1. Login as the substitute of a manager. 
2. Navigate to the **Action Items** tab.
3. Enable the **Operations Mode** using the toggle button on the top-right of the screen. 

Wasn’t that easy? 😊"
Using operation Mode,
How to use Operation Mode?,
how can i use the Operations Mode?,
Who can use the Operations Mode?,The **Operations Mode** can be used by an employee who is the substitute of one or more managers. 
Who can  use the Operations Mode?,
Who can use the Operations Mode in Lucid Capacity?,
How can an employee who is not a Manager use Lucid Capacity?,"All employees can use Lucid Capacity to view their assignments.

Employees who are assigned as substitutes in Lucid Capacity can access the tool on behalf of their manager."
How can I remove a team from the view?,"To **remove** a team from your view: 

1. Go to the **Teams** tab. 
2. Find your team and expand it. 
3. Click on **Remove Team from View**.
4. Click on **Remove** in the popup.

**Note**: Removing a team from the view **does not delete** it. 

Simple isn't it! 😊"
How can I remove a team that I have added to my team view? ,
What happens when a Placeholder Staff is replaced with an employee?,"When a placeholder staff is replaced by an employee, all assignments (current, past and future) of the placeholder staff will be transferred to the employee."
How can a C-user get access to Lucid Capacity?,D/I-users can request access for C-users via [**ARM**](https://uap.wdf.sap.corp/sap/bc/webdynpro/sap/yupa_extend_auth?pa_mandt=001&pa_system=IFP&pa_profile=0000_IFP_CP_LUCID_C_USER_ACCES).
How can I add Lucid Capacity to my Tools Launchpad?,Lucid Capacity is available in the [**Tools Launchpad**](https://ifp.wdf.sap.corp/sap/bc/webdynpro/sap/cprojects?sap-language=en#Shell-home) under **Capacity Management**!
Why are the percentage allocations of a portfolio item not editable?,"The percentage allocations of a portfolio item are not editable when the **portfolio item** (or it’s linked **cPro project**) is closed.

You can edit the percentage allocations by **reopening** the portfolio item (or it’s linked cPro project)."
Why am I unable to edit the percentage allocations of a portfolio item?,
